date,home_team,away_team,home_score,away_score,tournament,city,country,neutral
2012-11-25,Fenerbahçe,Gençlerbirliği,4,1,Super Lig,,Turkey,False
2012-11-25,Gaziantepspor,Başakşehir,2,1,Super Lig,,Turkey,False
2012-11-25,Sivasspor,Kayserispor,4,2,Super Lig,,Turkey,False
2012-11-26,Trabzonspor,Eskisehirspor,0,3,Super Lig,,Turkey,False
2012-11-30,Galatasaray,Gaziantepspor,1,1,Super Lig,,Turkey,False
2012-12-01,Akhisar Belediyespor,Bursaspor,2,2,Super Lig,,Turkey,False
2012-12-01,Karabukspor,Elazigspor,0,1,Super Lig,,Turkey,False
2012-12-01,Orduspor,Beşiktaş,1,2,Super Lig,,Turkey,False
2012-12-02,Antalyaspor,Mersin Idman Yurdu,1,0,Super Lig,,Turkey,False
2012-12-02,Başakşehir,Sivasspor,2,0,Super Lig,,Turkey,False
2012-12-02,Eskisehirspor,Kasımpaşa,2,2,Super Lig,,Turkey,False
2012-12-02,Kayserispor,Fenerbahçe,1,1,Super Lig,,Turkey,False
2012-12-03,Gençlerbirliği,Trabzonspor,0,4,Super Lig,,Turkey,False
2012-12-07,Beşiktaş,Eskisehirspor,2,2,Super Lig,,Turkey,False
2012-12-07,Elazigspor,Mersin Idman Yurdu,1,0,Super Lig,,Turkey,False
2012-12-08,Bursaspor,Orduspor,1,0,Super Lig,,Turkey,False
2012-12-08,Gaziantepspor,Karabukspor,0,2,Super Lig,,Turkey,False
2012-12-08,Kasımpaşa,Gençlerbirliği,2,2,Super Lig,,Turkey,False
2012-12-08,Sivasspor,Galatasaray,1,3,Super Lig,,Turkey,False
2012-12-09,Fenerbahçe,Başakşehir,2,1,Super Lig,,Turkey,False
2012-12-09,Trabzonspor,Kayserispor,1,1,Super Lig,,Turkey,False
2012-12-14,Eskisehirspor,Bursaspor,2,2,Super Lig,,Turkey,False
2012-12-15,Elazigspor,Gaziantepspor,0,0,Super Lig,,Turkey,False
2012-12-15,Gençlerbirliği,Beşiktaş,1,1,Super Lig,,Turkey,False
2012-12-15,Mersin Idman Yurdu,Akhisar Belediyespor,2,1,Super Lig,,Turkey,False
2012-12-16,Başakşehir,Trabzonspor,2,1,Super Lig,,Turkey,False
2012-12-16,Galatasaray,Fenerbahçe,2,1,Super Lig,,Turkey,False
2012-12-16,Karabukspor,Sivasspor,1,0,Super Lig,,Turkey,False
2012-12-16,Orduspor,Antalyaspor,1,1,Super Lig,,Turkey,False
2012-12-17,Kayserispor,Kasımpaşa,1,0,Super Lig,,Turkey,False
2012-12-21,Akhisar Belediyespor,Orduspor,0,0,Super Lig,,Turkey,False
2012-12-21,Beşiktaş,Kayserispor,3,1,Super Lig,,Turkey,False
2012-12-22,Fenerbahçe,Karabukspor,1,3,Super Lig,,Turkey,False
2012-12-22,Kasımpaşa,Başakşehir,0,2,Super Lig,,Turkey,False
2012-12-23,Antalyaspor,Eskisehirspor,2,1,Super Lig,,Turkey,False
2012-12-23,Bursaspor,Gençlerbirliği,0,0,Super Lig,,Turkey,False
2012-12-23,Gaziantepspor,Mersin Idman Yurdu,2,1,Super Lig,,Turkey,False
2012-12-23,Sivasspor,Elazigspor,3,1,Super Lig,,Turkey,False
2012-12-23,Trabzonspor,Galatasaray,0,0,Super Lig,,Turkey,False
2013-01-09,Akhisar Belediyespor,Antalyaspor,1,0,Super Lig,,Turkey,False
2013-01-18,Kasımpaşa,Galatasaray,2,1,Super Lig,,Turkey,False
2013-01-19,Beşiktaş,Başakşehir,2,2,Super Lig,,Turkey,False
2013-01-19,Bursaspor,Kayserispor,2,1,Super Lig,,Turkey,False
2013-01-19,Sivasspor,Gaziantepspor,0,0,Super Lig,,Turkey,False
2013-01-20,Antalyaspor,Gençlerbirliği,3,5,Super Lig,,Turkey,False
2013-01-20,Fenerbahçe,Elazigspor,2,2,Super Lig,,Turkey,False
2013-01-20,Trabzonspor,Karabukspor,1,3,Super Lig,,Turkey,False
2013-01-21,Akhisar Belediyespor,Eskisehirspor,1,1,Super Lig,,Turkey,False
2013-01-21,Orduspor,Mersin Idman Yurdu,1,1,Super Lig,,Turkey,False
2013-01-25,Karabukspor,Kasımpaşa,0,3,Super Lig,,Turkey,False
2013-01-26,Başakşehir,Bursaspor,4,1,Super Lig,,Turkey,False
2013-01-26,Gaziantepspor,Fenerbahçe,1,2,Super Lig,,Turkey,False
2013-01-26,Gençlerbirliği,Akhisar Belediyespor,1,0,Super Lig,,Turkey,False
2013-01-27,Elazigspor,Trabzonspor,3,1,Super Lig,,Turkey,False
2013-01-27,Galatasaray,Beşiktaş,2,1,Super Lig,,Turkey,False
2013-01-27,Kayserispor,Antalyaspor,2,0,Super Lig,,Turkey,False
2013-01-27,Mersin Idman Yurdu,Sivasspor,3,0,Super Lig,,Turkey,False
2013-01-28,Eskisehirspor,Orduspor,1,0,Super Lig,,Turkey,False
2013-02-01,Akhisar Belediyespor,Kayserispor,1,2,Super Lig,,Turkey,False
2013-02-01,Beşiktaş,Karabukspor,2,2,Super Lig,,Turkey,False
2013-02-02,Antalyaspor,Başakşehir,1,0,Super Lig,,Turkey,False
2013-02-02,Bursaspor,Galatasaray,1,1,Super Lig,,Turkey,False
2013-02-02,Kasımpaşa,Elazigspor,0,0,Super Lig,,Turkey,False
2013-02-03,Eskisehirspor,Mersin Idman Yurdu,0,0,Super Lig,,Turkey,False
2013-02-03,Fenerbahçe,Sivasspor,1,2,Super Lig,,Turkey,False
2013-02-03,Orduspor,Gençlerbirliği,2,1,Super Lig,,Turkey,False
2013-02-03,Trabzonspor,Gaziantepspor,4,1,Super Lig,,Turkey,False
2013-02-09,Başakşehir,Akhisar Belediyespor,0,2,Super Lig,,Turkey,False
2013-02-09,Elazigspor,Beşiktaş,1,3,Super Lig,,Turkey,False
2013-02-09,Gençlerbirliği,Eskisehirspor,0,2,Super Lig,,Turkey,False
2013-02-09,Karabukspor,Bursaspor,0,3,Super Lig,,Turkey,False
2013-02-10,Galatasaray,Antalyaspor,2,0,Super Lig,,Turkey,False
2013-02-10,Kayserispor,Orduspor,0,0,Super Lig,,Turkey,False
2013-02-10,Mersin Idman Yurdu,Fenerbahçe,0,1,Super Lig,,Turkey,False
2013-02-10,Sivasspor,Trabzonspor,2,0,Super Lig,,Turkey,False
2013-02-11,Gaziantepspor,Kasımpaşa,2,1,Super Lig,,Turkey,False
2013-02-15,Akhisar Belediyespor,Galatasaray,1,2,Super Lig,,Turkey,False
2013-02-16,Antalyaspor,Karabukspor,0,0,Super Lig,,Turkey,False
2013-02-16,Beşiktaş,Gaziantepspor,1,1,Super Lig,,Turkey,False
2013-02-16,Eskisehirspor,Kayserispor,0,3,Super Lig,,Turkey,False
2013-02-17,Bursaspor,Elazigspor,1,0,Super Lig,,Turkey,False
